0, 1, 10000
0, 2, 10000
0, 3, 10000
1, 3, 10000
1, 4, 10000
2, 3, 10000
2, 5, 10000
3, 4, 10000
3, 5, 10000
3, 6, 10000
4, 6, 10000
5, 6, 10000
4, 7, 10000
5, 8, 10000
6, 7, 10000
6, 8, 10000
6, 9, 10000
7, 9, 10000
8, 9, 10000
7, 10, 10000
8, 11, 10000
9, 10, 10000
9, 11, 10000
9, 12, 10000
10, 12, 10000
11, 12, 10000
10, 13, 10000
11, 14, 10000
12, 13, 10000
12, 14, 10000
12, 15, 10000
13, 15, 10000
14, 15, 10000
13, 16, 10000
14, 17, 10000
15, 16, 10000
15, 17, 10000
15, 18, 10000
16, 18, 10000
17, 18, 10000
16, 19, 10000
17, 20, 10000
18, 19, 10000
18, 20, 10000
18, 21, 10000
19, 21, 10000
20, 21, 10000
19, 22, 10000
20, 23, 10000
21, 22, 10000
21, 23, 10000
21, 24, 10000
22, 24, 10000
23, 24, 10000
22, 25, 10000
23, 26, 10000
24, 25, 10000
24, 26, 10000
24, 27, 10000
25, 27, 10000
26, 27, 10000
25, 28, 10000
26, 29, 10000
27, 28, 10000
27, 29, 10000
27, 30, 10000
28, 30, 10000
29, 30, 10000
